time,open,Price,high,low,Volume
2024-11-26 10:30:00,6.62,6.66,6.67,6.62,2675.0
2024-11-26 10:31:00,6.67,6.65,6.68,6.64,1698.0
2024-11-26 10:32:00,6.64,6.6,6.64,6.6,1330.0
2024-11-26 10:33:00,6.6,6.61,6.62,6.6,1318.0
2024-11-26 10:34:00,6.62,6.6,6.62,6.6,1424.0
2024-11-26 10:35:00,6.61,6.57,6.61,6.57,1819.0
2024-11-26 10:36:00,6.58,6.58,6.59,6.58,1504.0
2024-11-26 10:37:00,6.58,6.59,6.59,6.58,672.0
2024-11-26 10:38:00,6.59,6.59,6.59,6.58,723.0
2024-11-26 10:39:00,6.59,6.6,6.61,6.59,1407.0
2024-11-26 10:40:00,6.59,6.59,6.6,6.58,1070.0
2024-11-26 10:41:00,6.58,6.55,6.58,6.55,1857.0
2024-11-26 10:42:00,6.54,6.54,6.55,6.54,759.0
2024-11-26 10:43:00,6.54,6.52,6.54,6.52,740.0
2024-11-26 10:44:00,6.52,6.57,6.57,6.51,997.0
2024-11-26 10:45:00,6.57,6.55,6.58,6.55,816.0
2024-11-26 10:46:00,6.55,6.55,6.56,6.54,743.0
2024-11-26 10:47:00,6.55,6.55,6.56,6.54,595.0
2024-11-26 10:48:00,6.55,6.59,6.59,6.55,1285.0
2024-11-26 10:49:00,6.59,6.6,6.6,6.58,1067.0
2024-11-26 10:50:00,6.59,6.59,6.6,6.58,1025.0
2024-11-26 10:51:00,6.59,6.59,6.6,6.58,1421.0
2024-11-26 10:52:00,6.59,6.59,6.59,6.58,449.0
2024-11-26 10:53:00,6.59,6.58,6.59,6.58,1532.0
2024-11-26 10:54:00,6.6,6.6,6.6,6.59,442.0
2024-11-26 10:55:00,6.6,6.59,6.6,6.59,1375.0
2024-11-26 10:56:00,6.59,6.59,6.59,6.58,389.0
2024-11-26 10:57:00,6.59,6.59,6.6,6.59,1315.0
2024-11-26 10:58:00,6.59,6.59,6.59,6.58,969.0
2024-11-26 10:59:00,6.59,6.59,6.6,6.58,1000.0
2024-11-26 11:00:00,6.59,6.59,6.6,6.58,524.0
2024-11-26 11:01:00,6.59,6.57,6.59,6.57,1423.0
2024-11-26 11:02:00,6.57,6.55,6.57,6.55,1518.0
2024-11-26 11:03:00,6.55,6.54,6.55,6.53,2117.0
2024-11-26 11:04:00,6.54,6.53,6.54,6.52,1657.0
2024-11-26 11:05:00,6.52,6.51,6.52,6.5,1328.0
2024-11-26 11:06:00,6.51,6.53,6.54,6.5,1398.0
2024-11-26 11:07:00,6.53,6.53,6.54,6.53,1264.0
2024-11-26 11:08:00,6.53,6.53,6.54,6.52,474.0
2024-11-26 11:09:00,6.53,6.52,6.53,6.52,1226.0
2024-11-26 11:10:00,6.52,6.52,6.53,6.51,1298.0
2024-11-26 11:11:00,6.52,6.52,6.52,6.51,634.0
2024-11-26 11:12:00,6.52,6.51,6.52,6.51,2805.0
2024-11-26 11:13:00,6.52,6.51,6.52,6.5,1263.0
2024-11-26 11:14:00,6.51,6.51,6.51,6.5,1523.0
2024-11-26 11:15:00,6.51,6.52,6.52,6.5,603.0
2024-11-26 11:16:00,6.52,6.52,6.52,6.51,1121.0
2024-11-26 11:17:00,6.52,6.52,6.52,6.51,670.0
2024-11-26 11:18:00,6.52,6.52,6.52,6.51,586.0
2024-11-26 11:19:00,6.52,6.51,6.52,6.51,369.0
2024-11-26 11:20:00,6.52,6.52,6.52,6.51,1548.0
2024-11-26 11:21:00,6.52,6.53,6.53,6.52,2088.0
2024-11-26 11:22:00,6.53,6.6,6.6,6.53,3490.0
2024-11-26 11:23:00,6.6,6.64,6.64,6.6,2409.0
2024-11-26 11:24:00,6.64,6.64,6.66,6.6,3641.0
2024-11-26 11:25:00,6.64,6.62,6.64,6.6,1285.0
2024-11-26 11:26:00,6.62,6.6,6.62,6.6,872.0
2024-11-26 11:27:00,6.58,6.59,6.6,6.58,1184.0
2024-11-26 11:28:00,6.58,6.6,6.6,6.57,1560.0
2024-11-26 11:29:00,6.6,6.62,6.62,6.6,1899.0
2024-11-26 11:30:00,6.62,6.64,6.64,6.62,2497.0
2024-11-26 13:01:00,6.64,6.68,6.7,6.64,11572.0
2024-11-26 13:02:00,6.67,6.66,6.69,6.65,3281.0
2024-11-26 13:03:00,6.65,6.64,6.66,6.63,3632.0
2024-11-26 13:04:00,6.64,6.65,6.66,6.64,1578.0
2024-11-26 13:05:00,6.65,6.63,6.66,6.63,1716.0
2024-11-26 13:06:00,6.63,6.61,6.64,6.6,1271.0
2024-11-26 13:07:00,6.6,6.59,6.6,6.58,928.0
2024-11-26 13:08:00,6.59,6.59,6.59,6.58,1049.0
2024-11-26 13:09:00,6.59,6.57,6.59,6.56,989.0
2024-11-26 13:10:00,6.56,6.57,6.57,6.56,374.0
2024-11-26 13:11:00,6.56,6.55,6.57,6.55,599.0
2024-11-26 13:12:00,6.54,6.54,6.54,6.53,949.0
2024-11-26 13:13:00,6.53,6.54,6.54,6.53,790.0
2024-11-26 13:14:00,6.53,6.52,6.53,6.52,1646.0
2024-11-26 13:15:00,6.52,6.53,6.53,6.52,1485.0
2024-11-26 13:16:00,6.52,6.53,6.53,6.52,1372.0
2024-11-26 13:17:00,6.53,6.54,6.54,6.53,1106.0
2024-11-26 13:18:00,6.54,6.55,6.55,6.54,913.0
2024-11-26 13:19:00,6.55,6.58,6.58,6.55,1273.0
2024-11-26 13:20:00,6.59,6.6,6.6,6.57,2804.0
2024-11-26 13:21:00,6.6,6.6,6.6,6.59,1901.0
2024-11-26 13:22:00,6.59,6.58,6.59,6.58,488.0
2024-11-26 13:23:00,6.58,6.57,6.58,6.56,559.0
2024-11-26 13:24:00,6.57,6.59,6.59,6.57,585.0
2024-11-26 13:25:00,6.59,6.6,6.6,6.59,518.0
2024-11-26 13:26:00,6.6,6.65,6.65,6.6,3140.0
2024-11-26 13:27:00,6.64,6.66,6.67,6.64,4019.0
2024-11-26 13:28:00,6.67,6.62,6.67,6.62,1920.0
2024-11-26 13:29:00,6.62,6.65,6.65,6.62,1162.0
2024-11-26 13:30:00,6.65,6.63,6.65,6.63,1212.0
2024-11-26 13:31:00,6.63,6.61,6.64,6.61,677.0
2024-11-26 13:32:00,6.6,6.61,6.61,6.6,1215.0
2024-11-26 13:33:00,6.61,6.61,6.62,6.6,1003.0
2024-11-26 13:34:00,6.61,6.62,6.63,6.61,829.0
2024-11-26 13:35:00,6.62,6.62,6.63,6.62,557.0
2024-11-26 13:36:00,6.63,6.62,6.63,6.61,1232.0
2024-11-26 13:37:00,6.62,6.61,6.62,6.61,188.0
2024-11-26 13:38:00,6.61,6.61,6.62,6.61,846.0
2024-11-26 13:39:00,6.6,6.59,6.61,6.59,3676.0
2024-11-26 13:40:00,6.58,6.57,6.59,6.57,1107.0
2024-11-26 13:41:00,6.57,6.58,6.58,6.57,477.0
2024-11-26 13:42:00,6.58,6.58,6.59,6.57,1357.0
2024-11-26 13:43:00,6.59,6.58,6.59,6.57,220.0
2024-11-26 13:44:00,6.58,6.55,6.58,6.55,1580.0
2024-11-26 13:45:00,6.55,6.54,6.55,6.54,869.0
2024-11-26 13:46:00,6.54,6.53,6.54,6.51,1714.0
